FY2022 ISD External Certified Public Accounting Firms,Regions,,,,,,,,,,,,,,,,,,,,
Firms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
"Hankins, Eastup, Deaton, Tonn & Seay, PC",,,,,,,1,,,,,,,,,,1,,,,
Haynie & Company - Dallas,,,,,,1,4,2,,,,,,,,,7,,,,
"HLB Gravier, LLP - Florida",,,,,,,,,,,,,,,,1,1,,,,
"K. Evans & Associates, PLLC",,,1,,,,2,1,,,,,,,,,4,,,,
"Logan & Associates, P.C.",,,,1,,,,,,,,,,,,,1,,,,
"McConnell & Jones, LLP - Houston",,,6,,1,,4,,2,1,,,1,,,1,16,,,,
"Melton & Melton, L.L.P.",,,1,,,,,,,,,,,,,,1,,,,
"Mitchell T Fontenote CPA, Incorporated",,,,,,,2,,,1,,,,,,,3,,,,
Montemayor Britton & Bender PC,,,,,,,,,,2,,,,,,,2,,,,
"Paul J. Christensen & Associates, LLC",,,1,,,,,,,2,,,,,,2,5,,,,
"Ralph & Ralph, P.C.",,,1,,,,,,,,,,,,,,1,,,,
"Randy Walker & Co., CPAs",,,7,,,,,1,1,3,,,1,,,5,18,,,,
"Raul Hernandez & Company, PC",2,4,,,,,,,,,,,,,,,6,,,,
RSM US LLP - San Antonio,,,,,,,,,,,,,,,,1,1,,,,
"Rutherford, Taylor & Company P.C. - Greenville",,,,,,1,,,,,,,,,,,1,,,,
"Sutton Frost Cary, LLP",,,,,,,9,3,,,,1,,,1,1,15,,,,
UHY LLP - Farmington Hills - Michigan,,,,,,,1,,,,,,,,,1,2,,,,
"Vail & Park, P.C.",,,,,,,5,1,,,1,,,,,,7,,,,
"Wathen, De Shong & Juncker, L.L.P.",,,,1,,,,,,,,,,,,,1,,,,
"Weaver & Tidwell, L.L.P. - Dallas",,,,,,,2,,,,,,,,,,2,,,,
"Weaver & Tidwell, L.L.P. - Fort Worth",,,,,,,,1,,,,,,,,,1,,,,
